Murrieta,CA,"112,539",,,,,,
Rio Rancho,NM,"112,524",,,,,,
Temecula,CA,"112,431",,,,,,
Concord,NC,"112,395",,,,,,
Tyler,TX,"112,219",,,,,,
Davie,FL,"112,052",,,,,,
South Fulton,GA,"112,003",,,,,,
Peoria,IL,"111,696",,,,,,
Sparks,NV,"111,520",,,,,,
Gresham,OR,"111,507",,,,,,
Santa Maria,CA,"111,346",,,,,,
Pueblo,CO,"111,166",,,,,,
Hillsboro,OR,"110,337",,,,,,
Edison[w],NJ,"110,002",,,,,,
Sugar Land,TX,"109,851",,,,,,
Ventura[z],CA,"109,831",,,,,,
Downey,CA,"109,368",,,,,,
Costa Mesa,CA,"109,131",,,,,,
Centennial,CO,"108,853",,,,,,
Edinburg,TX,"108,733",,,,,,
Spokane Valley,WA,"108,267",,,,,,
Jurupa Valley,CA,"108,154",,,,,,
Bend,OR,"106,926",,,,,,
West Covina,CA,"106,920",,,,,,
Boulder,CO,"106,803",,,,,,
Palm Coast,FL,"106,729",,,,,,
Lee's Summit,MO,"106,419",,,,,,
Dearborn,MI,"106,377",,,,,,
Green Bay,WI,"106,311",,,,,,
St. George,UT,"106,288",,,,,,
Woodbridge[w],NJ,"106,101",,,,,,
Brockton,MA,"105,788",,,,,,
Renton,WA,"105,543",,,,,,
Sandy Springs,GA,"105,505",,,,,,
Rialto,CA,"104,918",,,,,,
El Monte,CA,"104,639",,,,,,
Vacaville,CA,"103,994",,,,,,
Fishers,IN,"103,986",,,,,,
South Bend,IN,"103,713",,,,,,
Carmel,IN,"103,606",,,,,,
Yuma,AZ,"103,559",,,,,,
Burbank,CA,"103,533",,,,,,
Lynn,MA,"103,489",,,,,,
Quincy,MA,"103,434",,,,,,
El Cajon,CA,"103,291",,,,,,
Fayetteville,AR,"103,134",,,,,,
Suffolk[l],VA,"103,105",,,,,,
San Mateo,CA,"103,006",,,,,,
Chico,CA,"102,911",,,,,,
Inglewood,CA,"102,774",,,,,,
Wichita Falls,TX,"102,372",,,,,,
Boca Raton,FL,"102,238",,,,,,
Hesperia,CA,"101,836",,,,,,
Daly City,CA,"101,418",,,,,,
Clinton[aa],MI,"101,359",,,,,,
Georgetown,TX,"101,344",,,,,,
New Bedford,MA,"101,318",,,,,,
Albany,NY,"101,317",,,,,,
Davenport,IA,"100,938",,,,,,
Plantation,FL,"100,694",,,,,,
Deltona,FL,"100,513",,,,,,
Federal Way,WA,"100,252",,,,,,
San Angelo,TX,"100,159",,,,,,
Tracy,CA,"100,136",,,,,,
Sunrise,FL,"100,128",,,,,,
